"LBXVST.Code.or.Value","LBXVST.Value.Description","LBXVST.Count","LBXVST.Cumulative","LBXVST.Skip.to.Item"
"0.0212 to 4.1","Range of Values",2719,2719,NA
".","Missing",696,3415,NA
