"RDQ135.Code.or.Value","RDQ135.Value.Description","RDQ135.Count","RDQ135.Cumulative","RDQ135.Skip.to.Item"
"1","Not at all,",473,473,NA
"2","A little,",252,725,NA
"3","A fair amount,",96,821,NA
"4","A moderate amount, or",50,871,NA
"5","A lot?",69,940,NA
"7","Refused",0,940,NA
"9","Don't know",1,941,NA
".","Missing",9529,10470,NA
