"OSD030ci.Code.or.Value","OSD030ci.Value.Description","OSD030ci.Count","OSD030ci.Cumulative","OSD030ci.Skip.to.Item"
"85","85 or older",0,0,NA
"77777","Refused",0,0,NA
"99999","Don't know",1,1,NA
".","Missing",5040,5041,NA
