"PAXSWMD.Code.or.Value","PAXSWMD.Value.Description","PAXSWMD.Count","PAXSWMD.Cumulative","PAXSWMD.Skip.to.Item"
"0 to 1440","Range of Values",61168,61168,NA
".","Missing",0,61168,NA
