"URDMALLC.Code.or.Value","URDMALLC.Value.Description","URDMALLC.Count","URDMALLC.Cumulative","URDMALLC.Skip.to.Item"
"0","detectable result",997,997,NA
"1","below detectable limit",923,1920,NA
".","Missing",205,2125,NA
