"SXQ430.Code.or.Value","SXQ430.Value.Description","SXQ430.Count","SXQ430.Cumulative","SXQ430.Skip.to.Item"
"0 to 500","Range of Values",102,102,NA
"77777","Refused",1,103,NA
"99999","Don't know",0,103,NA
".","Missing",4522,4625,NA
