"URDHLSLC.Code.or.Value","URDHLSLC.Value.Description","URDHLSLC.Count","URDHLSLC.Cumulative","URDHLSLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2485,2485,NA
".","Missing",271,2756,NA
