"URDMCOLC.Code.or.Value","URDMCOLC.Value.Description","URDMCOLC.Count","URDMCOLC.Cumulative","URDMCOLC.Skip.to.Item"
"0","At or above detection limit",1783,1783,NA
"1","Below lower detection limit",1192,2975,NA
".","Missing",230,3205,NA
