"URXRIM.Code.or.Value","URXRIM.Value.Description","URXRIM.Count","URXRIM.Cumulative","URXRIM.Skip.to.Item"
"0.042 to 0.042","Range of Values",2284,2284,NA
".","Missing",328,2612,NA
