"URDUTULC.Code.or.Value","URDUTULC.Value.Description","URDUTULC.Count","URDUTULC.Cumulative","URDUTULC.Skip.to.Item"
"0","At or above the detection limit",2023,2023,NA
"1","Below lower detection limit",505,2528,NA
".","Missing",77,2605,NA
