"OPDSAVN.Code.or.Value","OPDSAVN.Value.Description","OPDSAVN.Count","OPDSAVN.Cumulative","OPDSAVN.Skip.to.Item"
"0","No",2629,2629,NA
"1","Questionable",378,3007,NA
"2","Yes",196,3203,NA
".","Missing",660,3863,NA
