"DR1IS060.Code.or.Value","DR1IS060.Value.Description","DR1IS060.Count","DR1IS060.Cumulative","DR1IS060.Skip.to.Item"
"0 to 2.28","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
