"DS1TPFAT.Code.or.Value","DS1TPFAT.Value.Description","DS1TPFAT.Count","DS1TPFAT.Cumulative","DS1TPFAT.Skip.to.Item"
"0.25 to 18","Range of Values",250,250,NA
".","Missing",9563,9813,NA
