"DR2IVC.Code.or.Value","DR2IVC.Value.Description","DR2IVC.Count","DR2IVC.Cumulative","DR2IVC.Skip.to.Item"
"0 to 1333.2","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
