"DIQ300S.Code.or.Value","DIQ300S.Value.Description","DIQ300S.Count","DIQ300S.Cumulative","DIQ300S.Skip.to.Item"
"78 to 200","Range of Values",299,299,NA
"7777","Refused",0,299,NA
"9999","Don't know",217,516,NA
".","Missing",9306,9822,NA
