"DSQIKCAL.Code.or.Value","DSQIKCAL.Value.Description","DSQIKCAL.Count","DSQIKCAL.Cumulative","DSQIKCAL.Skip.to.Item"
"0.18 to 3654","Range of Values",1833,1833,NA
".","Missing",6452,8285,NA
