"AUXU500R.Code.or.Value","AUXU500R.Value.Description","AUXU500R.Count","AUXU500R.Cumulative","AUXU500R.Skip.to.Item"
"-10 to 110","Range of Values",4297,4297,NA
"666","No response",1,4298,NA
"888","Could not obtain",23,4321,NA
".","Missing",261,4582,NA
