"DR2TNUMF.Code.or.Value","DR2TNUMF.Value.Description","DR2TNUMF.Count","DR2TNUMF.Cumulative","DR2TNUMF.Skip.to.Item"
"0 to 56","Range of Values",7838,7838,NA
".","Missing",1924,9762,NA
