"DSD128HH.Code.or.Value","DSD128HH.Value.Description","DSD128HH.Count","DSD128HH.Cumulative","DSD128HH.Skip.to.Item"
"42","WORD OF MOUTH, ADVERTISEMENT",19,19,NA
".","Missing",8266,8285,NA
