"DR2IVB1.Code.or.Value","DR2IVB1.Value.Description","DR2IVB1.Count","DR2IVB1.Cumulative","DR2IVB1.Skip.to.Item"
"0 to 5.859","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
