"URDTRNLC.Code.or.Value","URDTRNLC.Value.Description","URDTRNLC.Count","URDTRNLC.Cumulative","URDTRNLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2494,2494,NA
".","Missing",200,2694,NA
