"BPQ040F.Code.or.Value","BPQ040F.Value.Description","BPQ040F.Count","BPQ040F.Cumulative","BPQ040F.Skip.to.Item"
"1","Yes",148,148,NA
"2","No",1527,1675,NA
"7","Refused",0,1675,NA
"9","Don't know",6,1681,NA
".","Missing",4953,6634,NA
