"DR1IP182.Code.or.Value","DR1IP182.Value.Description","DR1IP182.Count","DR1IP182.Cumulative","DR1IP182.Skip.to.Item"
"0 to 154.515","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
