"URXMX3.Code.or.Value","URXMX3.Value.Description","URXMX3.Count","URXMX3.Cumulative","URXMX3.Skip.to.Item"
"0.052 to 2150","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
