"PSQ160.Code.or.Value","PSQ160.Value.Description","PSQ160.Count","PSQ160.Cumulative","PSQ160.Skip.to.Item"
"1","Yes",24,24,""
"2","No",1,25,"PSQ180"
"7","Refused",0,25,"PSQ180"
"9","Don't know",0,25,"PSQ180"
".","Missing",96,121,""
