"PSQ200F.Code.or.Value","PSQ200F.Value.Description","PSQ200F.Count","PSQ200F.Cumulative","PSQ200F.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",2,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",119,121,NA
