"DR1IM221.Code.or.Value","DR1IM221.Value.Description","DR1IM221.Count","DR1IM221.Cumulative","DR1IM221.Skip.to.Item"
"0 to 9.982","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
