"LBC114LA.Code.or.Value","LBC114LA.Value.Description","LBC114LA.Count","LBC114LA.Cumulative","LBC114LA.Skip.to.Item"
"0.1061 to 2.542","Range of Values",251,251,NA
".","Missing",0,251,NA
