"MCQ160a.Code.or.Value","MCQ160a.Value.Description","MCQ160a.Count","MCQ160a.Cumulative","MCQ160a.Skip.to.Item"
"1","Yes",1508,1508,NA
"2","No",4248,5756,NA
"7","Refused",0,5756,NA
"9","Don't know",13,5769,NA
".","Missing",4001,9770,NA
