"LBCF05.Code.or.Value","LBCF05.Value.Description","LBCF05.Count","LBCF05.Cumulative","LBCF05.Skip.to.Item"
"0.277 to 48.7","Range of Values",247,247,NA
".","Missing",17,264,NA
