"LBDGLUSI.Code.or.Value","LBDGLUSI.Value.Description","LBDGLUSI.Count","LBDGLUSI.Cumulative","LBDGLUSI.Skip.to.Item"
"1.17 to 26.6","Range of Values",2972,2972,NA
".","Missing",219,3191,NA
