"LEXRABPI.Code.or.Value","LEXRABPI.Value.Description","LEXRABPI.Count","LEXRABPI.Cumulative","LEXRABPI.Skip.to.Item"
"0.44 to 1.65","Range of Values",2268,2268,NA
".","Missing",607,2875,NA
