"LBXF05.Code.or.Value","LBXF05.Value.Description","LBXF05.Count","LBXF05.Cumulative","LBXF05.Skip.to.Item"
"6.15 to 297.6","Range of Values",1236,1236,NA
".","Missing",1311,2547,NA
