"OHQ590Q.Code.or.Value","OHQ590Q.Value.Description","OHQ590Q.Count","OHQ590Q.Cumulative","OHQ590Q.Skip.to.Item"
"3 to 30","Range of Values",79,79,""
"7777","Refused",0,79,"OHQ592"
"9999","Don't know",0,79,"OHQ592"
".","Missing",9691,9770,""
