"RHD451.Code.or.Value","RHD451.Value.Description","RHD451.Count","RHD451.Cumulative","RHD451.Skip.to.Item"
"10 to 58","Range of Values",1355,1355,NA
"777","Refused",0,1355,NA
"999","Don't know",12,1367,NA
".","Missing",2197,3564,NA
