"URXUAS3.Code.or.Value","URXUAS3.Value.Description","URXUAS3.Count","URXUAS3.Cumulative","URXUAS3.Skip.to.Item"
"0.85 to 156","Range of Values",2576,2576,NA
".","Missing",144,2720,NA
