"LBXHCR.Code.or.Value","LBXHCR.Value.Description","LBXHCR.Count","LBXHCR.Cumulative","LBXHCR.Skip.to.Item"
"1","Positive",67,67,NA
"2","Negative",38,105,NA
".","Missing",8486,8591,NA
