"WBXA082.Code.or.Value","WBXA082.Value.Description","WBXA082.Count","WBXA082.Cumulative","WBXA082.Skip.to.Item"
"-4.9808 to 0.9998","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
