"URDDEALC.Code.or.Value","URDDEALC.Value.Description","URDDEALC.Count","URDDEALC.Cumulative","URDDEALC.Skip.to.Item"
"0","At or above detection limit",2172,2172,NA
"1","Below lower detection limit",491,2663,NA
".","Missing",96,2759,NA
