"DSQTSFAT.Code.or.Value","DSQTSFAT.Value.Description","DSQTSFAT.Count","DSQTSFAT.Cumulative","DSQTSFAT.Skip.to.Item"
"0.001 to 2.667","Range of Values",194,194,NA
".","Missing",9777,9971,NA
