"LBDF05LC.Code.or.Value","LBDF05LC.Value.Description","LBDF05LC.Count","LBDF05LC.Cumulative","LBDF05LC.Skip.to.Item"
"0","detectable result",857,857,NA
"1","below detectable limit",379,1236,NA
".","Missing",1311,2547,NA
