"ALQ101.Code.or.Value","ALQ101.Value.Description","ALQ101.Count","ALQ101.Cumulative","ALQ101.Skip.to.Item"
"1","Yes",3790,3790,"ALQ120Q"
"2","No",1623,5413,""
"7","Refused",0,5413,""
"9","Don't know",8,5421,""
".","Missing",503,5924,""
