"DS2TCALC.Code.or.Value","DS2TCALC.Value.Description","DS2TCALC.Count","DS2TCALC.Cumulative","DS2TCALC.Skip.to.Item"
"3 to 3800","Range of Values",1579,1579,NA
".","Missing",8234,9813,NA
