"MCQ150G.Code.or.Value","MCQ150G.Value.Description","MCQ150G.Count","MCQ150G.Cumulative","MCQ150G.Skip.to.Item"
"1","Enter number",3434,3434,""
"2","Did not go to school",289,3723,"MCQ160A"
"7","Refused",0,3723,"MCQ160A"
"9","Don't know",6,3729,"MCQ160A"
".","Missing",6741,10470,""
