"URDOP3LC.Code.or.Value","URDOP3LC.Value.Description","URDOP3LC.Count","URDOP3LC.Cumulative","URDOP3LC.Skip.to.Item"
"0","At or above the detection limit",2287,2287,NA
"1","Below lower detection limit",126,2413,NA
".","Missing",92,2505,NA
