"DXXTOTBS.Code.or.Value","DXXTOTBS.Value.Description","DXXTOTBS.Count","DXXTOTBS.Cumulative","DXXTOTBS.Skip.to.Item"
"0.8 to 1.736","Range of Values",3657,3657,NA
".","Missing",4063,7720,NA
