"LBXEPP.Code.or.Value","LBXEPP.Value.Description","LBXEPP.Count","LBXEPP.Cumulative","LBXEPP.Skip.to.Item"
"12 to 582","Range of Values",2844,2844,NA
".","Missing",379,3223,NA
