"OHXRRESO.Code.or.Value","OHXRRESO.Value.Description","OHXRRESO.Count","OHXRRESO.Cumulative","OHXRRESO.Skip.to.Item"
"1","Root restoration detected",136,136,NA
"2","Root restoration not detected",4768,4904,NA
"9","Cannot be accessed",2,4906,NA
".","Missing",4259,9165,NA
