"LBXTO2.Code.or.Value","LBXTO2.Value.Description","LBXTO2.Count","LBXTO2.Cumulative","LBXTO2.Skip.to.Item"
"0 to 10.7","Range of Values",527,527,NA
".","Missing",5827,6354,NA
