"LBXNFOS.Code.or.Value","LBXNFOS.Value.Description","LBXNFOS.Count","LBXNFOS.Cumulative","LBXNFOS.Skip.to.Item"
"0.07 to 88.4","Range of Values",1929,1929,NA
".","Missing",204,2133,NA
