"DS1TCHOL.Code.or.Value","DS1TCHOL.Value.Description","DS1TCHOL.Count","DS1TCHOL.Cumulative","DS1TCHOL.Skip.to.Item"
"1 to 75","Range of Values",282,282,NA
".","Missing",9056,9338,NA
