"DR1TVK.Code.or.Value","DR1TVK.Value.Description","DR1TVK.Count","DR1TVK.Cumulative","DR1TVK.Skip.to.Item"
"0 to 15857.7","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
