"RFXT092.Code.or.Value","RFXT092.Value.Description","RFXT092.Count","RFXT092.Cumulative","RFXT092.Skip.to.Item"
"796 to 805","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
