"DR2IIRON.Code.or.Value","DR2IIRON.Value.Description","DR2IIRON.Count","DR2IIRON.Cumulative","DR2IIRON.Skip.to.Item"
"0 to 88.11","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
