"DMDHRBR2.Code.or.Value","DMDHRBR2.Value.Description","DMDHRBR2.Count","DMDHRBR2.Cumulative","DMDHRBR2.Skip.to.Item"
"1","Born in 50 US States or Washington, DC",7178,7178,NA
"2","Born in Mexico",1277,8455,NA
"4","Born in Other Spanish Speaking Country",915,9370,NA
"5","Born in Other Non-Spanish Speaking Country",499,9869,NA
"7","Refused",4,9873,NA
"9","Don't know",8,9881,NA
".","Missing",268,10149,NA
