"DS2IMAGN.Code.or.Value","DS2IMAGN.Value.Description","DS2IMAGN.Count","DS2IMAGN.Cumulative","DS2IMAGN.Skip.to.Item"
"0.4 to 1200","Range of Values",978,978,NA
".","Missing",4620,5598,NA
