"BIXS245K.Code.or.Value","BIXS245K.Value.Description","BIXS245K.Count","BIXS245K.Cumulative","BIXS245K.Skip.to.Item"
"95.34 to 852.64","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
