"DR1IS080.Code.or.Value","DR1IS080.Value.Description","DR1IS080.Count","DR1IS080.Cumulative","DR1IS080.Skip.to.Item"
"0 to 7.121","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
