"WTSPH02.Code.or.Value","WTSPH02.Value.Description","WTSPH02.Count","WTSPH02.Cumulative","WTSPH02.Skip.to.Item"
"0 to 779596.23803","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
