"DR2CCMNM.Code.or.Value","DR2CCMNM.Value.Description","DR2CCMNM.Count","DR2CCMNM.Cumulative","DR2CCMNM.Skip.to.Item"
"0 to 12","Range of Values",120871,120871,NA
".","Missing",0,120871,NA
