"OCQ450.Code.or.Value","OCQ450.Value.Description","OCQ450.Count","OCQ450.Cumulative","OCQ450.Skip.to.Item"
"1","Yes",284,284,NA
"2","No",441,725,NA
"7","Refused",1,726,NA
"9","Don't know",1,727,NA
".","Missing",5907,6634,NA
