"PAQ724w.Code.or.Value","PAQ724w.Value.Description","PAQ724w.Count","PAQ724w.Cumulative","PAQ724w.Skip.to.Item"
"23","SWIMMING",265,265,NA
".","Missing",8990,9255,NA
