"LBXVHE.Code.or.Value","LBXVHE.Value.Description","LBXVHE.Count","LBXVHE.Cumulative","LBXVHE.Skip.to.Item"
"0.0078 to 0.0078","Range of Values",3155,3155,NA
".","Missing",390,3545,NA
