"LBXPCB.Code.or.Value","LBXPCB.Value.Description","LBXPCB.Count","LBXPCB.Cumulative","LBXPCB.Skip.to.Item"
"9.97 to 8811.6","Range of Values",1226,1226,NA
".","Missing",1321,2547,NA
